A	B	C	D	E	F	G
-2.7	58	1.1	2000	-9.8	0	223
-2.7	58	1.7	2000	-9.8	0	195
-2.2	58	1	2000	-9.3	0	190
-2.9	57	0	1985	-10.2	0	116
-2.8	57	0.5	1995	-10.1	0	71
-2.4	58	0.3	2000	-9.5	0	66
-2.4	59	1.1	1984	-9.3	0	75
-3	62	0.8	1996	-9.2	0	151
-3.7	64	0.7	1891	-9.5	0	373
-3.6	63	0.9	1473	-9.6	0.07	783
-1.9	51	0.9	1654	-10.7	0.58	383
0.9	44	1.1	1826	-10	1.16	259
2.7	44	0.9	1761	-8.3	1.45	308
4.8	47	2.6	1373	-5.5	1.72	352
4.5	51	3.8	1108	-4.7	1.08	316
4.8	50	4.3	1168	-4.7	1.01	331
5	49	4.4	1138	-4.8	0.96	356
5	50	4.3	1121	-4.5	0.74	404
4.6	52	3.9	1059	-4.4	0.5	465
3.9	56	4	1004	-4	0.18	730
3.5	60	2.7	936	-3.5	0	499
3	62	2.4	975	-3.5	0	348
2.9	64	2.5	1154	-3.2	0	393
2.9	65	2.3	1150	-3	0	346
2.9	63	2.6	1253	-3.4	0	202
1.7	86	2.7	54	-0.3	0	42
0.6	96	2.1	118	0	0	55
0.7	97	1.4	197	0.2	0	62
0.9	97	1.2	243	0.4	0	32
1.1	96	2.5	241	0.5	0	36
1	91	0.7	257	-0.3	0	39
0.4	95	0.3	197	-0.3	0	63
-0.1	97	0.5	179	-0.5	0	174
-0.2	97	0.4	197	-0.6	0.05	391
0.5	94	0.6	199	-0.3	0.37	214
2.2	83	0.8	221	-0.3	0.92	184
3.8	72	0.9	236	-0.7	1.1	230
5.3	70	0.9	226	0.2	1.73	283
6.7	64	2	241	0.3	1.94	304
7.8	57	2.1	277	-0.2	1.39	312
8.2	62	0.6	291	1.3	1.22	312
8.3	60	2.7	354	0.9	0.36	354
7.9	68	4.2	352	2.3	0.27	470
7.5	70	5	374	2.3	0.08	669
6.9	73	3.7	369	2.3	0	421
6.4	77	2.8	316	2.6	0	295
6	79	2.7	306	2.6	0	321
5.7	81	2.5	292	2.6	0	291
5.5	80	2.7	258	2.3	0	243
4.6	82	3	240	1.7	0	226
4	83	1.7	235	1.3	0	263
3.7	82	1.6	229	0.9	0	197
3.5	82	2.9	217	0.7	0	133
2.7	82	2.8	222	0	0	63
1.8	84	2.7	214	-0.6	0	58
1.2	83	2.5	245	-1.3	0	72
0.6	86	1.6	211	-1.4	0	108
0	77	2.8	289	-3.5	0.06	203
0.6	64	3.8	430	-5.4	0.65	253
0.8	60	2.9	497	-6	0.71	259
2.2	50	2.4	608	-7.1	1.1	298
4	37	1.4	763	-9.4	1.75	363
5.3	29	2.1	1007	-11.3	2.08	412
6.9	19	1.9	1843	-15.1	2.36	454
6.7	24	2.7	1536	-12.4	1.95	467
5.9	21	3	1864	-14.8	1.34	509
4.9	28	3.1	1477	-12.1	0.77	462
3.5	30	2.9	1726	-12.4	0.31	379
2.1	27	2.8	1883	-15	0.01	306
1.1	32	1.4	1785	-13.8	0	233
0.7	31	1.3	1923	-14.5	0	232
0.1	32	0.9	1937	-14.6	0	219
-0.6	39	1.3	1731	-12.8	0	187
-1.1	44	1.2	1741	-11.8	0	182
-1.4	43	0.6	1791	-12.3	0	189
-1.5	46	1.1	1744	-11.6	0	124
-1.3	42	0.8	1648	-12.5	0	103
-1.1	43	0.7	1558	-12.1	0	52
-0.7	41	0.9	1442	-12.3	0	37
-0.8	44	0.6	1541	-11.5	0	54
-1	47	0.9	1552	-10.9	0	77
-1.3	54	0.6	1597	-9.4	0.06	158
-0.3	48	1.1	1394	-10	0.43	173
2.1	42	1.1	1564	-9.5	1.12	195
4.3	29	2.6	1293	-12.2	1.87	244
5.5	25	3.1	1652	-13	2.28	396
6.1	22	2.4	1710	-14	2.5	482
7	23	2.4	1645	-12.7	2.52	572
7.5	21	2.7	1900	-13.4	2.22	612
7.6	18	3.2	1930	-15.2	1.73	688
6.9	25	2.9	1795	-11.8	1.07	589
5.2	30	2.8	1877	-11	0.36	402
3.1	40	2.6	1804	-9.2	0.01	297
1.3	49	2.8	1683	-8.2	0	232
0.2	55	2.5	1942	-7.7	0	239
0	54	2.5	1929	-8.2	0	230
-0.3	58	1	1945	-7.5	0	173
-0.9	60	0.7	1844	-7.7	0	135
-1.2	63	0.9	1846	-7.3	0	122
-1.7	66	0.8	1631	-7.2	0	80
-1.9	67	1	1575	-7.2	0	46
-2.3	69	1.1	1411	-7.2	0	46
-2.5	73	0.8	1134	-6.6	0	65
-2.7	72	0.5	1253	-7	0	161
-3.1	68	0.8	1417	-8.1	0	402
-2.9	63	0.7	1386	-8.9	0.11	786
-1.1	53	0.9	1308	-9.4	0.72	416
1.9	46	1.1	1233	-8.5	1.39	289
4.6	37	1.6	1309	-8.8	1.95	356
6.9	28	1.1	1301	-10.3	2.35	428
8.1	26	1.2	1422	-10.2	2.48	444
9.9	25	1.5	1401	-9.2	2.43	455
10.3	23	2.1	1317	-9.9	2.09	521
9.5	31	3.1	973	-6.8	1.54	555
8.7	30	3.1	1117	-7.9	0.96	646
7.2	26	2.3	1398	-11	0.33	929
5.5	30	2.7	1150	-10.7	0.01	619
4.3	32	1.7	1101	-10.9	0	483
3.3	36	1.4	1110	-10.3	0	512
2.7	40	1	1089	-9.5	0	443
2.8	39	0.7	1065	-9.8	0	308
2.6	40	1.8	1095	-9.6	0	236
2.1	44	0.9	1107	-8.9	0	213
1.5	44	1.2	1079	-9.4	0	145
1.1	44	1	1128	-9.8	0	102
0.9	46	0.8	1140	-9.4	0	62
0.6	50	0.1	1026	-8.6	0	72
0.6	50	0.4	985	-8.6	0	183
1.3	47	0.7	1084	-8.7	0	443
2	51	0.7	990	-7	0	767
2.5	51	1	866	-6.6	0.07	455
3.3	47	0.7	818	-6.9	0.22	261
4.8	41	0.8	792	-7.3	0.53	342
5.4	37	0.7	815	-8.1	0.43	353
5.8	39	0.6	931	-7.1	0.35	335
6.3	40	0.8	943	-6.3	0.34	357
6.7	48	0.8	817	-3.5	0.39	402
6.9	54	1.1	692	-1.7	0.32	411
6.8	57	1	623	-1.1	0.16	529
6.6	62	0.8	522	-0.1	0.05	897
6.1	44	1	750	-5.2	0	616
5.9	44	1.3	733	-5.4	0	461
5.7	46	0.8	727	-5	0	449
5.4	49	1.1	687	-4.4	0	461
5.3	53	1.5	582	-3.5	0	310
5.1	52	1.1	614	-3.9	0	266
5	53	1.4	557	-3.8	0	229
5.2	54	1.3	516	-3.3	0	174
5.3	55	1.7	488	-3	0	116
5.4	56	1.7	472	-2.6	0	72
5.2	59	1.7	437	-2.1	0	62
5.2	60	1.9	430	-1.9	0	165
5.5	59	2.8	448	-1.8	0	426
5.7	57	2.5	458	-2.1	0.04	816
6.2	55	2.4	478	-2.1	0.13	419
6.5	53	2	518	-2.4	0.21	285
7.1	50	2.2	534	-2.6	0.33	332
7.6	48	2.6	600	-2.7	0.39	305
7.6	57	2.3	554	-0.3	0.33	28
5.7	80	3.7	348	2.5	0.13	17
4.8	87	2.9	312	2.8	0.08	7
4.2	89	2.5	479	2.5	0.07	9
3.8	90	2.7	654	2.3	0	8
3.6	90	2.1	845	2.1	0	11
2.5	95	1.9	838	1.7	0	19
2.7	96	1.5	1479	2.1	0	8
2.4	95	2.5	1349	1.6	0	10
2.3	96	1.9	1207	1.7	0	13
1.8	96	1.2	745	1.2	0	23
2	96	1.3	1894	1.4	0	71
2.1	97	0.2	859	1.6	0	147
2	97	1	580	1.5	0	180
1.6	97	2.3	469	1.1	0	92
1.6	97	1.1	636	1.1	0	28
2.2	97	2.9	362	1.7	0	11
3	96	2.7	303	2.4	0	33
2.6	89	4.3	320	0.9	0	61
1.5	80	3.2	1246	-1.5	0.04	148
0.1	78	4.9	615	-3.2	0.09	160
0.1	53	5.3	1022	-8.3	1.12	191
0.8	52	4.6	1035	-7.9	2.2	239
0.5	46	4.7	1172	-9.8	2.49	311
1.4	37	4	1681	-11.7	2.95	358
1.2	36	6	1430	-12.2	2.86	375
1.6	35	4.5	1567	-12.2	2.54	458
1.4	33	4.8	1480	-13.1	1.98	460
0.4	37	5.2	1366	-12.6	1.23	423
-0.8	40	4.7	1429	-12.7	0.43	317
-1.7	45	3.3	1375	-12.1	0.01	231
-2.2	49	3.5	1325	-11.4	0	246
-3	50	3.7	1301	-11.9	0	212
-3.6	52	3.7	1277	-12	0	190
-4	52	3.4	1272	-12.4	0	190
-4.3	53	2.6	1334	-12.4	0	156
-4.6	52	2.1	1372	-12.9	0	108
-5.3	52	1.2	1434	-13.6	0	71
-5.7	50	1.7	1559	-14.4	0	49
-5.8	48	1.5	1552	-15	0	47
-6.1	49	1	1621	-15.1	0	65
-6.4	50	1.5	1593	-15.1	0	135
-6.6	52	0.5	1555	-14.8	0	401
-6.2	45	0.4	1600	-16.2	0.17	617
-4.6	34	1.2	1583	-18.1	0.87	343
-1.8	30	2.1	1608	-17.1	1.59	274
0.1	30	1.8	1640	-15.4	2.19	343
1.8	26	2.2	1556	-15.7	2.61	388
2.3	22	3.1	1627	-17.2	2.83	375
3.4	23	2.4	1545	-15.8	2.74	450
4.3	22	1.3	1837	-15.6	2.48	463
5.2	21	2.1	1721	-15.4	1.97	574
4.3	21	2.5	1961	-16.1	1.13	631
3.5	22	0.9	1961	-16.2	0.43	854
2	26	2.3	1985	-15.5	0.02	568
1.2	35	2.5	1977	-12.6	0	427
1	34	1.4	1880	-13.1	0	396
0.5	38	0.9	1907	-12.2	0	414
0.3	38	0.2	1895	-12.3	0	284
0.5	34	0.4	1889	-13.5	0	218
0.6	36	0.4	1933	-12.7	0	229
0.9	35	0.5	1856	-12.8	0	176
0.8	38	0.8	1594	-11.9	0	149
0.6	43	0.9	1599	-10.5	0	93
0.8	39	1	1463	-11.6	0	55
0.5	42	0.9	1543	-10.9	0	71
0.1	43	1.4	1502	-11	0	159
0.4	38	1.8	1564	-12.3	0.16	306
2.2	30	1.5	1513	-13.6	0.81	329
5.1	27	1.2	1563	-12.4	1.54	354
8.1	21	2.1	1738	-12.9	2.15	431
10.7	16	1.7	1657	-14.1	2.56	605
12.2	14	1.6	1896	-14.5	2.75	771
14.4	14	1.4	1833	-12.8	2.66	1025
16	14	2.2	1828	-11.5	2.33	1238
15.8	15	2.6	1867	-10.8	1.7	1285
15	22	2.5	1946	-6.5	0.96	1197
13.9	26	1.9	1995	-5.3	0.41	920
12.7	32	2.3	2000	-3.6	0.01	630
11.1	51	3.7	1957	1.3	0	631
10.3	52	2.2	1843	0.8	0	588
10.2	49	1.7	1972	0	0	516
9.4	74	1.6	559	4.9	0	215
8.5	87	0.9	303	6.4	0	161
8.3	91	0.1	282	6.9	0	118
8.3	95	0.3	243	7.5	0	95
8.5	96	0.4	238	7.8	0	90
8.8	95	0.2	218	8	0	34
8.8	96	1.2	196	8.1	0	15
8.6	96	0.7	224	7.9	0	20
8.4	97	2.6	122	7.9	0	23
8.3	97	0.6	152	7.8	0.01	70
8.8	97	1.3	196	8.3	0.2	157
9.8	90	0.8	335	8.2	0.64	239
10.1	88	0.7	453	8.1	0.34	273
10.7	85	0.9	393	8.2	0.52	358
10.8	84	1.2	400	8.1	0.44	429
11.2	83	1.1	518	8.4	0.45	475
11.7	81	1.2	616	8.5	0.53	468
11.7	82	1.1	753	8.7	0.32	396
11.8	82	1.7	990	8.8	0.4	492
11.5	81	1.5	1475	8.3	0.07	436
11.2	81	2.3	1614	8	0	289
11.3	80	1.2	1978	7.9	0	26
10.6	89	2.1	606	8.8	0	7
9.6	92	2.5	721	8.3	0	8
8.7	91	2.9	957	7.3	0	9
7.6	88	2.5	1974	5.7	0	22
7	88	2.5	2000	5.1	0	23
6.3	89	2.2	1456	4.6	0	9
5.7	92	2	458	4.4	0	2
5.1	90	2.6	1005	3.5	0	4
4.7	89	2.3	1242	3	0	22
4.2	87	2	1979	2.2	0	20
3.8	87	2.2	2000	1.8	0	85
3.6	88	2.3	2000	1.7	0.03	184
3.7	85	1.8	2000	1.4	0.17	211
4.4	80	1.8	2000	1.2	0.56	232
6.1	66	1.9	2000	0.2	1.42	322
7.6	58	2.4	2000	-0.1	1.85	438
8.3	51	2	2000	-1.2	1.42	465
10	44	1.9	2000	-1.7	2.46	550
10.3	43	2.5	2000	-1.7	2.45	637
11	39	1.2	2000	-2.4	1.96	718
10	43	1.4	2000	-2	1.12	865
8.1	47	1.7	2000	-2.5	0.34	1155
5.8	53	1.7	2000	-3	0.02	782
4.3	57	1.3	2000	-3.4	0	578
3.1	59	1.5	2000	-4.1	0	533
2.3	63	1	2000	-4	0	466
1.9	60	1.3	2000	-5	0	274
1.3	69	0.8	2000	-3.7	0	224
0.8	67	0.8	2000	-4.6	0	188
0.3	71	0.9	1999	-4.3	0	122
0.1	71	0.4	2000	-4.5	0	82
-0.5	75	0.6	1967	-4.3	0	79
-0.9	78	0.6	1687	-4.2	0	80
-1	77	0.4	1578	-4.5	0	214
-1	78	0.6	1484	-4.3	0	583
-0.7	76	1	1461	-4.4	0.2	997
1.2	62	0.8	1338	-5.2	0.85	556
3.7	51	1.3	1596	-5.5	1.56	380
6.3	41	1.3	1519	-6	2.12	475
8.5	34	1.9	1876	-6.4	2.55	504
9.3	27	2.2	1816	-8.7	2.65	528
9.2	27	2.9	1880	-8.8	2.32	567
10.1	24	1.8	1839	-9.6	2.12	616
10.6	26	1.9	1955	-8.1	1.75	680
10.2	27	2.8	1826	-8	1.22	883
8.7	28	3.2	2000	-8.8	0.49	1246
7.1	30	2.7	2000	-9.3	0.02	833
6.1	31	2.8	2000	-9.8	0	666
5.5	33	3.2	1995	-9.5	0	625
4.5	40	1.3	1871	-7.9	0	514
3.5	44	0.9	1905	-7.6	0	361
2.8	45	1.7	1493	-7.9	0	289
2.8	46	2	1709	-7.6	0	194
2.6	50	1.3	1962	-6.8	0	134
2.7	55	1.5	1989	-5.4	0	92
2.6	61	1.7	1998	-4.1	0	49
2.5	63	1.3	1987	-3.8	0	97
2.4	65	1.8	1989	-3.5	0	232
2.2	65	1.9	2000	-3.7	0	598
2.6	63	1.6	1857	-3.7	0.14	1032
3.8	58	2	1785	-3.7	0.49	566
5.2	52	1.5	1808	-3.8	0.74	410
8	43	1.7	1909	-3.8	1.74	441
9.6	39	1.8	1982	-3.7	2.09	550
9.9	39	1.9	1911	-3.4	1.61	509
9.8	38	0.9	1908	-3.8	0.93	505
10.2	34	2.3	1919	-4.9	1.19	620
10.4	36	3.2	1963	-4	1.02	646
10.4	37	1	2000	-3.6	0.67	849
9.6	42	2	2000	-2.7	0.14	1365
8.9	44	2.3	2000	-2.7	0	799
8.5	46	1	1977	-2.4	0	587
7.9	56	1.4	1975	-0.3	0	411
7.2	60	1.4	1928	0	0	147
6	79	2	918	2.6	0	48
5.2	83	1.5	733	2.5	0	49
4.7	86	0.7	717	2.5	0	23
4.2	88	0.9	553	2.3	0	19
3.8	90	0.8	448	2.3	0	12
3.3	90	1.3	682	1.8	0	8
3.1	90	1.2	974	1.6	0	17
3.1	89	0.2	903	1.4	0	32
3	90	0.7	578	1.5	0	64
3	94	0.3	444	2.1	0.01	88
3.4	90	1.5	386	1.9	0.21	100
3.6	88	2.6	681	1.7	0.44	165
4.5	82	2	1226	1.6	0.73	290
5.6	72	3	1700	0.9	0.89	375
6.7	65	3.2	1651	0.5	1.76	405
7.7	62	2.4	1758	0.8	1.64	452
9.2	53	3.3	1896	0.1	2.23	555
9.5	56	3.1	994	1.1	1.1	594
7.5	64	4.3	538	1.1	0.88	757
5.9	68	3.4	543	0.4	0.38	1091
4.5	72	2.7	529	-0.1	0.03	683
3.3	74	2.6	494	-0.8	0	586
3.1	74	3.2	465	-1	0	533
2.8	74	2.1	469	-1.3	0	498
2.8	73	1.8	468	-1.5	0	315
3	72	2.3	473	-1.5	0	272
2.8	73	2.6	413	-1.5	0	228
2.8	74	1.2	415	-1.3	0	155
2.7	75	0.7	417	-1.2	0	105
2.5	76	1	403	-1.3	0	66
2.5	76	0.7	544	-1.3	0	88
2.5	71	1.1	1055	-2.2	0	195
1.6	76	0.7	1024	-2.1	0	574
1.8	67	0.7	1917	-3.6	0.19	1041
3.5	60	1.3	1969	-3.5	0.71	570
4.8	54	1.3	1921	-3.7	0.78	361
5.9	51	0.7	1866	-3.4	0.91	444
6.8	51	1	1617	-2.6	1.13	510
7.5	44	2	1526	-3.9	1.24	509
8	42	1.5	1690	-4.1	1.24	542
7.7	51	2.9	670	-1.8	0.94	611
9.6	38	1.7	1052	-4	1.71	686
8.9	46	1.8	789	-2.1	1	834
7	55	2	705	-1.4	0.35	1231
5.4	60	3.9	990	-1.7	0.02	718
4.3	67	1.1	1125	-1.2	0	535
3.5	69	1.4	1177	-1.6	0	537
2.9	69	1.2	1179	-2.2	0	521
2.5	72	1.5	1071	-2	0	309
2.1	74	1.4	970	-2	0	328
2	75	1	658	-1.9	0	305
1.6	79	0.9	685	-1.6	0	241
1.3	80	0.6	705	-1.7	0	139
0.9	81	0.6	620	-1.9	0	91
0.8	80	0.3	565	-2.2	0	79
1.1	78	1.1	538	-2.3	0	74
0.9	78	1.1	535	-2.5	0	208
1.5	73	1.2	466	-2.8	0.11	340
2.7	71	1.3	418	-2	0.3	381
3.5	65	2.4	539	-2.4	0.87	416
5.7	58	2.3	700	-1.9	2.08	497
7.1	50	2.2	909	-2.6	2.47	650
8.2	42	3.1	1261	-3.9	2.66	757
9.2	38	2.6	1377	-4.4	2.53	906
8.1	36	4.7	1964	-6.1	2.23	931
8.3	37	3.8	1867	-5.5	1.73	972
7.7	46	2.8	1635	-3.2	1.05	829
6.2	61	3.2	1411	-0.7	0.4	664
5.3	67	2.6	1314	-0.3	0.02	573
5.2	69	1.8	1196	0	0	447
5	73	2.2	1173	0.5	0	470
5	75	2.2	1084	0.9	0	421
5.1	75	1.4	950	1	0	345
5.1	77	1.9	718	1.3	0	376
4.8	80	1.3	583	1.6	0	222
4.7	78	1.5	466	1.1	0	171
4.4	80	1.6	393	1.2	0	115
4.2	81	1.3	333	1.2	0	80
3.9	85	1.6	264	1.6	0	45
3.4	85	1.5	234	1.1	0	63
2.9	84	1.9	241	0.4	0	119
2.8	82	1.2	240	0	0.19	212
3.9	77	2	263	0.2	0.65	289
5.9	69	2.6	330	0.6	1.43	394
7.6	54	1.6	430	-1.1	2.06	425
9.2	40	2.6	592	-3.7	2.47	666
10.3	31	2.1	885	-6.1	2.67	843
11.6	20	2.7	1647	-10.6	2.69	1154
11.9	26	2.8	1338	-7	2.34	1294
11.9	25	2.7	1424	-7.5	1.83	1205
11.1	25	2	1765	-8.2	1.19	1028
9.4	22	2.9	1995	-11.2	0.55	776
7.8	28	1.9	1982	-9.6	0.04	596
6.7	32	1.9	1722	-8.8	0	530
5.7	34	1	1520	-8.9	0	533
5.3	31	2.3	1842	-10.5	0	419
4.2	34	1.7	1476	-10.3	0	288
3.5	46	1.1	1040	-7	0	222
2.9	51	0.8	1119	-6.2	0	163
2.7	46	0.4	1363	-7.7	0	95
2.3	48	0.8	1448	-7.6	0	60
2.8	52	0.6	1249	-6.1	0	47
3.3	53	0.4	1208	-5.3	0	106
2.8	57	0.7	920	-4.8	0	261
3	53	0.5	1094	-5.6	0	662
3.8	47	0.8	1229	-6.5	0.06	1066
4.8	43	1	1200	-6.7	0.18	604
6.6	40	1	1061	-6	0.65	406
9.2	33	1.1	892	-6.2	1.54	463
11.7	32	1.6	690	-4.4	1.99	581
13.6	34	1.8	458	-1.9	2.23	588
14.9	34	2.8	403	-0.8	2.22	603
15.3	32	2.9	458	-1.3	2.02	694
14.5	34	3.1	471	-1.2	1.59	752
13.7	38	2.6	436	-0.3	1	931
12.2	43	2.8	463	0	0.41	1425
10.6	47	2	425	-0.2	0.03	946
9.4	50	2.1	391	-0.5	0	801
8.7	49	1.7	464	-1.4	0	771
7.8	49	0.1	528	-2.2	0	695
6.8	56	0.9	497	-1.3	0	397
6.4	62	0.7	506	-0.3	0	309
5.9	65	1	596	-0.1	0	231
5.4	66	0.6	623	-0.4	0	161
5.5	62	0.6	722	-1.2	0	103
6.2	59	0.8	493	-1.2	0	88
6.8	56	0.9	570	-1.3	0	97
7	58	0.7	537	-0.7	0	252
7.2	56	0.5	545	-1	0	668
8	48	0.4	711	-2.3	0.12	1215
9.4	44	0.3	743	-2.2	0.33	616
10.9	40	0.5	714	-2.1	0.55	428
12.6	49	1.4	988	2.1	0.84	571
15.5	47	3.3	1303	4.2	2.44	626
17.1	42	3.2	1305	4	2.6	678
18.3	43	2.2	1509	5.4	2.43	705
18.6	47	3.3	1560	7	2.08	815
17.6	53	3.7	1735	7.8	1.4	890
16.9	62	3.1	1562	9.5	0.95	1085
15.7	68	3.3	1473	9.8	0.39	1749
14.1	77	2	1240	10.1	0.04	1224
13.9	77	1.5	1010	9.9	0	986
13.7	79	2	1035	10.1	0	982
13.5	81	2.8	933	10.2	0	912
13.4	81	2.6	958	10.1	0	572
13.6	79	2.2	862	10	0	412
13.7	73	2.2	1182	8.9	0	309
13.8	70	1.3	1363	8.4	0	226
14	67	2.3	1733	7.9	0	142
14	70	1.5	1648	8.6	0	82
14.1	69	1.3	1923	8.4	0	123
14.1	69	1.6	1882	8.4	0	290
14.1	69	1.1	1692	8.4	0	786
14.2	67	0.9	1812	8.1	0.06	1371
14.6	62	1.2	1768	7.3	0.19	761
15.7	58	1.3	1980	7.4	0.69	552
17.5	55	2.1	1892	8.3	1.35	643
19.9	44	2.7	1874	7.2	2.22	813
20.9	44	4.7	1795	8.1	2.66	789
21.1	42	4.3	2000	7.6	2.49	878
21.7	39	3.3	1979	7.1	2.09	1025
21.7	41	3.2	2000	7.8	1.91	1049
20.5	49	3.5	2000	9.4	1.18	1325
19.2	53	2.4	2000	9.3	0.58	2100
17.9	54	2.9	2000	8.4	0.04	1478
17.2	60	2.5	1993	9.3	0	1275
16.8	67	2	1775	10.6	0	1181
16.2	71	2	1780	10.9	0	983
16.1	69	1.8	1666	10.4	0	587
16	69	2.4	1863	10.3	0	466
16.3	68	2.1	1859	10.3	0	355
16.5	68	1.3	1724	10.5	0	203
16.5	69	2.4	1659	10.7	0	51
15.1	86	2.1	877	12.7	0	9
14.5	94	2	487	13.5	0	8
14.4	96	0.7	453	13.7	0	10
14.3	97	0.3	189	13.8	0	15
14.1	97	1.1	342	13.6	0	39
14.1	98	1.1	253	13.7	0.06	32
14.2	98	1.2	299	13.8	0.14	27
13.9	98	1.4	296	13.5	0.13	65
13.3	97	2.9	771	12.8	0.19	204
12.7	97	2.6	467	12.2	0.23	269
12.1	97	2	177	11.6	0.2	289
11.6	97	3.4	117	11.1	0.26	329
10.7	98	1.2	196	10.3	0.14	214
10.9	98	1.3	222	10.5	0.09	411
10.4	98	2.5	116	10	0.03	676
10.4	98	2	391	10	0	606
10.5	97	1.8	372	10	0	533
10.4	96	2.7	499	9.7	0	567
9.8	90	3.7	493	8.2	0	506
9.3	90	4.1	609	7.7	0	343
8.4	86	2.2	2000	6.1	0	287
7.2	83	2.1	2000	4.4	0	278
6.7	72	2.1	2000	1.9	0	178
6.1	67	2.6	2000	0.4	0	102
5.7	62	2.4	2000	-1	0	85
5.2	60	2	2000	-1.9	0	85
4.4	61	1.7	2000	-2.4	0	222
3.7	59	2.9	2000	-3.5	0	652
3.8	56	2.4	2000	-4.1	0.32	1176
5.2	51	1.7	2000	-4.1	1.08	683
6.7	46	2.2	1936	-4.1	1.79	507
8.2	45	2.4	1992	-3	2.38	557
9.4	40	2.6	1913	-3.5	2.78	705
10.4	38	2.4	1959	-3.3	2.99	715
11	36	1.8	1973	-3.5	2.91	772
11.9	32	1.9	1976	-4.3	2.62	923
11.6	31	1.4	1999	-4.9	2.11	976
11.2	30	1.5	2000	-5.7	1.44	1160
10	33	1.2	2000	-5.5	0.68	1641
8.1	36	1.2	2000	-6.1	0.06	974
6.7	41	1	2000	-5.6	0	774
5.8	43	1.8	2000	-5.8	0	710
4.9	46	0.8	2000	-5.7	0	660
4.2	47	1.3	2000	-6.1	0	455
3.7	48	1.6	2000	-6.3	0	414
3	52	0.7	2000	-5.9	0	366
2.3	56	0.6	2000	-5.5	0	268
1.8	59	0.7	2000	-5.3	0	157
1.3	61	0.7	2000	-5.4	0	103
1	62	0.9	2000	-5.4	0	60
0.8	63	1	2000	-5.4	0	109
0.5	64	0.8	2000	-5.5	0.01	193
1.3	57	1	1974	-6.2	0.32	384
3.4	49	1.6	1950	-6.3	1.03	520
6	43	1	1829	-5.6	1.69	561
8	39	1.2	1783	-5.1	2.26	742
10	38	1.5	1677	-3.6	2.51	933
10.9	32	1.2	1772	-5.1	2.22	1111
12.1	29	2.3	1734	-5.4	2.26	1294
13.2	23	2.8	1696	-7.5	2.52	1514
13.7	28	2.1	1499	-4.5	1.88	1440
12.1	34	2.5	1240	-3.3	0.81	1272
10.6	42	2.8	1307	-1.8	0.31	934
8.8	49	3.2	1207	-1.3	0.05	718
7.9	54	2.3	1005	-0.8	0	688
7.4	54	2	1142	-1.3	0	624
7	55	2.7	1041	-1.4	0	562
6.4	59	1.1	961	-1	0	422
5.9	56	1.1	1019	-2.2	0	407
5.7	55	1.4	1043	-2.6	0	309
5.5	56	1.2	1067	-2.5	0	226
5.5	57	1.1	1079	-2.3	0	174
5.6	55	0.4	1115	-2.7	0	106
5.6	55	1.2	1008	-2.7	0	67
5.7	54	1.7	1208	-2.9	0	73
5.5	58	1	937	-2.1	0	152
5.9	58	1.8	861	-1.7	0.11	293
6.3	53	0.5	849	-2.5	0.34	398
7.2	53	1.6	709	-1.7	0.45	460
8.5	49	0.7	718	-1.6	0.76	587
9.8	46	1.2	710	-1.2	1.13	751
10.6	43	1.3	705	-1.4	1.07	881
11	41	1.1	763	-1.7	0.81	993
12	37	0.8	879	-2.2	1.09	1128
12.3	30	1.6	1263	-4.8	0.94	1059
11.1	42	2.2	765	-1.3	0.34	603
10.4	47	0.4	824	-0.4	0.14	365
10	53	1.7	796	0.8	0.01	237
9.2	66	1.1	513	3.1	0	146
8.8	72	0.9	501	4	0	71
8.1	76	0.8	492	4.1	0	70
7.4	80	1.3	471	4.1	0	53
7	81	1.1	421	3.9	0	67
6.7	84	0.8	320	4.1	0	38
6.6	86	0.6	416	4.4	0	28
6.5	88	0.9	276	4.6	0	12
6.3	90	1	240	4.7	0	9
6.2	89	1.5	338	4.5	0	27
6.5	88	1.2	417	4.6	0	91
6.5	88	1.4	515	4.6	0	370
7.3	84	2.2	813	4.7	0.05	592
8.2	81	2.7	1273	5.1	0.2	387
9.1	77	2.7	1587	5.2	0.27	292
10.2	65	3.3	2000	3.9	0.57	393
10.2	58	3.5	2000	2.2	0.32	403
10.1	61	3.7	1504	2.9	0.38	387
10.1	59	3.3	2000	2.4	0.57	326
9.8	57	3	2000	1.6	0.43	263
8.9	63	3	1614	2.2	0.28	271
8.5	59	2.7	1927	0.9	0.16	605
8.6	55	2.4	1958	0	0.09	1200
8.4	51	3.3	1977	-1.1	0.01	818
8.3	47	3.1	2000	-2.3	0	711
8	47	3.3	2000	-2.6	0	731
7.6	48	3.1	2000	-2.7	0	565
6.9	44	3.3	2000	-4.5	0	382
6.3	42	3.3	2000	-5.6	0	297
5.5	42	3.1	2000	-6.4	0	243
5.1	44	3.4	2000	-6.1	0	165
4.7	44	3.8	2000	-6.5	0	95
4.4	44	3.1	2000	-6.8	0	69
4.1	42	3.1	2000	-7.6	0	92
3.9	43	3.4	2000	-7.5	0	235
3.8	44	4.1	2000	-7.3	0.02	677
4.3	43	4.2	2000	-7.2	0.37	1212
5.7	38	3.9	1985	-7.5	0.98	661
7.4	35	3.5	1990	-7	1.81	418
8.4	34	3.6	1966	-6.5	2.36	488
9	33	3.1	1985	-6.4	2.59	522
8	37	3.4	2000	-5.8	1.96	516
